Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total,date
49AE,pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,3,5,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,1,3,0,2,6,1,1,0,3,5,15,23,14/05/2013
49AE,vtotal,2,4,6,6,18,10,6,6,13,35,11,10,8,4,33,86,14,8,7,11,40,13,11,8,11,43,5,15,14,18,52,135,16,13,7,5,41,10,6,9,8,33,8,6,8,9,31,105,10,15,9,21,55,11,13,14,15,53,14,20,19,16,69,177,503,14/05/2013
49AE,ptotal,2,5.3,6,6,19.3,10,6,6,13,35,11,10,8,4,33,87.3,14,8,7,11,40,12.7,11,8,11,42.7,5,13.4,14,15.6,48,130.7,17,13,6.2,5,41.2,10,6,9,8,33,8,6,8,8.4,30.4,104.6,10,14.4,7.4,18.8,50.6,10.2,10.6,14,13.4,48.2,13.2,19.2,19,13.6,65,163.8,486.4,14/05/2013
49AD,car,0,0,3,1,4,1,8,1,3,13,1,0,2,3,6,23,2,0,3,1,6,5,6,3,5,19,4,5,2,3,14,39,4,3,1,5,13,2,2,0,1,5,4,1,0,2,7,25,3,7,7,5,22,2,2,1,2,7,6,2,3,5,16,45,132,
49AD,lgv,0,1,1,0,2,0,2,0,1,3,0,0,1,0,1,6,1,1,1,0,3,0,1,0,0,1,2,1,0,0,3,7,0,1,1,0,2,2,1,0,0,3,0,0,0,0,0,5,0,1,0,2,3,0,1,0,0,1,2,0,1,0,3,7,25,
49AD,hgv 2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
49AD,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AD,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AD,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AD,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AD,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AD,taxi,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,2,1,1,1,0,3,6,13,
49AD,mc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,
49AD,pc,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,1,2,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,2,2,1,0,3,6,8,1,0,3,1,5,1,1,9,5,16,4,6,6,5,21,42,56,
49AD,vtotal,0,1,4,3,8,1,10,1,4,16,1,0,4,5,10,34,4,1,5,1,11,6,9,3,6,24,6,8,2,4,20,55,4,4,2,8,18,4,4,1,2,11,6,2,0,5,13,42,5,8,11,8,32,5,4,10,7,26,13,9,11,10,43,101,232,
49AD,ptotal,0,1,4,2.2,7.2,1,10,1,4,16,1,0,4,4.2,9.2,32.4,3.2,1,5,1,10.2,5.2,10.3,3,5.2,23.7,6,8.5,2,5.3,21.8,55.7,4,4,2,9.3,19.3,4,3.2,0.4,1.2,8.8,4.4,1.2,0,2.6,8.2,36.3,4.2,8,8,7.2,27.4,4.2,3.2,2.8,3,13.2,9.8,4.2,6.2,6,26.2,66.8,191.2,
49AC,car,80,107,93,102,382,98,83,68,99,348,71,69,51,72,263,993,65,55,53,53,226,60,58,65,60,243,64,52,77,73,266,735,66,67,58,55,246,67,68,84,63,282,72,51,57,73,253,781,86,92,96,78,352,89,96,103,97,385,91,93,86,82,352,1089,3598,
49AC,lgv,7,4,12,14,37,13,11,8,10,42,5,10,3,8,26,105,11,7,10,9,37,11,12,9,11,43,13,9,7,6,35,115,3,11,9,6,29,5,10,5,15,35,11,1,10,8,30,94,10,4,4,9,27,5,4,2,2,13,2,4,0,3,9,49,363,
49AC,hgv 2x,2,2,1,0,5,0,1,3,0,4,1,0,0,1,2,11,2,1,4,2,9,2,0,2,1,5,0,2,1,1,4,18,1,0,0,0,1,1,2,2,3,8,3,1,2,0,6,15,1,0,0,0,1,0,1,0,0,1,2,0,0,0,2,4,48,
49AC,hgv 3x,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,
49AC,hgv 4x,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
49AC,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AC,dbus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49AC,obus,0,1,1,0,2,0,0,2,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3,4,10,
49AC,taxi,6,12,9,9,36,15,16,15,15,61,14,25,20,25,84,181,22,15,24,23,84,19,8,18,15,60,18,14,19,12,63,207,16,12,14,8,50,12,9,15,15,51,12,10,9,14,45,146,14,16,10,10,50,15,17,8,12,52,13,7,16,17,53,155,689,
49AC,mc,2,0,1,1,4,2,3,2,5,12,3,5,3,1,12,28,1,1,0,3,5,0,0,1,0,1,2,1,1,2,6,12,1,3,0,0,4,1,1,2,1,5,2,0,0,1,3,12,2,0,2,1,5,1,0,1,1,3,3,7,5,2,17,25,77,
49AC,pc,5,2,16,14,37,19,13,19,23,74,13,11,3,7,34,145,2,0,3,3,8,2,1,3,5,11,0,1,0,4,5,24,4,2,3,4,13,3,1,3,3,10,4,4,7,2,17,40,2,8,4,7,21,13,15,25,25,78,15,27,20,17,79,178,387,
49AC,vtotal,102,128,134,140,504,147,128,119,152,546,107,120,80,115,422,1472,103,79,94,93,369,94,80,99,92,365,97,79,105,98,379,1113,91,95,84,73,343,89,92,111,100,392,105,67,85,98,355,1090,115,120,116,105,456,124,133,139,137,533,128,139,127,122,516,1505,5180,
49AC,ptotal,99.4,130,124.2,128.2,481.8,130.6,118.4,110.8,130.6,490.4,96.1,108.2,75.8,111.1,391.2,1363.4,103.4,79.7,96.8,91.4,371.3,95,80.5,99.6,89.3,364.4,95.8,80.2,105.7,94.9,376.6,1112.3,88.5,91.6,81.6,69.8,331.5,87.3,94.5,110,100.9,392.7,105.8,65.1,82,95.8,348.7,1072.9,113.5,113.6,111.6,98.8,437.5,114,122.3,118.4,116.4,471.1,118.8,114.2,108,108.5,449.5,1358.1,4906.7,
49AB,car,1,8,17,14,40,16,17,12,10,55,18,13,10,14,55,150,7,15,17,9,48,10,7,11,5,33,13,10,14,22,59,140,16,16,10,15,57,10,13,10,15,48,11,7,10,14,42,147,15,17,14,14,60,19,23,17,18,77,26,20,23,24,93,230,667,
49AB,lgv,2,4,1,1,8,1,1,1,0,3,2,4,5,3,14,25,2,3,2,2,9,2,2,1,8,13,2,2,5,1,10,32,1,5,3,0,9,3,3,1,6,13,3,1,3,2,9,31,4,4,4,2,14,1,4,2,0,7,1,0,0,1,2,23,111,
49AB,hgv 2x,2,0,0,0,2,2,0,1,2,5,0,2,0,0,2,9,1,1,1,2,5,1,2,0,1,4,2,1,0,1,4,13,0,0,1,0,1,2,1,0,0,3,0,0,1,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28,
49AB,hgv 3x,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,
49AB,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
49AB,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AB,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49AB,obus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,1,4,5,
49AB,taxi,2,2,1,4,9,4,1,3,5,13,6,4,3,5,18,40,6,1,0,6,13,1,3,1,4,9,5,3,1,2,11,33,2,2,4,3,11,3,0,6,4,13,2,5,0,4,11,35,3,4,3,2,12,3,2,2,3,10,4,2,2,3,11,33,141,
49AB,mc,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,3,0,0,1,1,2,5,3,1,1,10,4,3,0,1,8,20,26,
49AB,pc,0,0,0,1,1,0,0,1,2,3,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,1,1,1,0,1,3,6,1,0,0,0,1,1,4,4,2,11,7,3,1,2,13,25,37,
49AB,vtotal,7,14,21,20,62,23,19,19,19,80,27,24,18,23,92,234,16,22,20,19,77,15,14,13,18,60,22,16,21,26,85,222,20,24,18,19,81,18,18,18,26,80,17,15,14,22,68,229,23,27,24,19,93,29,36,26,25,116,42,29,26,31,128,337,1022,
49AB,ptotal,9.6,14,19.8,19.2,62.6,25.6,19,20.8,20,85.4,28.3,27.6,18,24.3,98.2,246.2,17.3,21.7,21.3,21.6,81.9,17.6,16.6,13,19.3,66.5,24.6,17.3,20.4,27.3,89.6,238,21.3,23.2,19.3,18.2,82,20.6,18.7,17.4,25.2,81.9,16.2,15.5,15.3,20.6,67.6,231.5,22.2,29.6,25.4,18.4,95.6,25.2,31,22.2,23.8,102.2,34,25.8,25.2,28.8,113.8,311.6,1027.3,
49BA,car,15,15,29,23,82,20,23,16,21,80,21,22,24,13,80,242,14,10,14,5,43,12,8,12,17,49,17,16,10,11,54,146,6,12,5,13,36,10,18,13,8,49,10,8,14,8,40,125,13,16,20,17,66,17,7,15,11,50,16,13,24,19,72,188,701,
49BA,lgv,2,1,0,0,3,2,0,1,1,4,0,2,4,0,6,13,1,2,3,4,10,4,1,6,5,16,2,4,3,2,11,37,2,1,2,0,5,1,2,3,1,7,1,4,1,4,10,22,1,3,3,1,8,4,1,0,0,5,1,2,0,1,4,17,89,
49BA,hgv 2x,2,2,0,0,4,0,0,0,0,0,0,1,0,1,2,6,0,1,0,2,3,0,0,1,0,1,0,0,0,0,0,4,2,2,2,0,6,0,0,0,1,1,0,0,2,0,2,9,2,2,0,0,4,0,0,0,1,1,0,0,0,0,0,5,24,
49BA,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49BA,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
49BA,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BA,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BA,obus,0,1,0,0,1,2,0,0,0,2,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,3,4,10,
49BA,taxi,1,2,1,4,8,2,2,4,6,14,4,7,4,6,21,43,7,3,3,4,17,0,2,2,1,5,2,1,3,5,11,33,4,1,2,4,11,2,5,2,1,10,3,2,4,3,12,33,3,3,2,3,11,0,3,6,3,12,2,4,3,5,14,37,146,
49BA,mc,1,1,0,1,3,1,1,0,0,2,3,1,0,0,4,9,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,1,1,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,17,
49BA,pc,1,5,9,4,19,5,1,7,9,22,7,2,0,3,12,53,0,0,0,1,1,1,2,0,0,3,0,2,1,0,3,7,0,0,2,1,3,2,1,0,0,3,1,0,0,1,2,8,1,0,4,1,6,0,1,1,1,3,1,2,2,1,6,15,83,
49BA,vtotal,22,27,39,32,120,32,27,28,37,124,35,35,34,24,128,372,22,16,20,17,75,17,13,21,24,75,21,23,17,20,81,231,14,16,13,18,61,15,27,18,14,74,15,15,22,16,68,203,20,24,29,22,95,21,12,23,17,73,22,21,30,27,100,268,1074,
49BA,ptotal,23.2,26,31.8,28.2,109.2,29.4,25.6,22.4,29.8,107.2,27.6,34.1,36.3,23.9,121.9,338.3,22,17.3,20,18.2,77.5,16.2,11.4,22.3,23.4,73.3,21,21.4,16.2,22.3,80.9,231.7,16.6,18.6,14,17.2,66.4,13.4,25.6,18,17.3,74.3,14.2,14.4,24,15.2,67.8,208.5,21.8,26.6,25.8,21.2,95.4,21,11.2,21.6,18.5,72.3,23.2,19.4,27.8,27.2,97.6,265.3,1043.8,
49BE,car,22,27,32,40,121,42,47,34,38,161,39,29,27,29,124,406,27,24,16,28,95,15,12,17,18,62,22,18,21,33,94,251,23,27,23,31,104,28,28,43,22,121,43,18,31,30,122,347,25,19,38,35,117,39,33,43,45,160,39,53,47,35,174,451,1455,
49BE,lgv,5,2,7,4,18,3,3,4,2,12,0,7,5,5,17,47,4,3,3,5,15,7,4,12,7,30,5,5,3,8,21,66,4,7,2,3,16,5,3,5,6,19,7,11,7,3,28,63,1,3,0,6,10,3,2,3,1,9,2,3,3,3,11,30,206,
49BE,hgv 2x,0,0,0,1,1,0,0,4,0,4,0,0,1,1,2,7,0,0,0,0,0,0,1,1,1,3,1,0,0,1,2,5,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,4,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,3,19,
49BE,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BE,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49BE,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BE,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49BE,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,2,4,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,9,
49BE,taxi,0,1,1,2,4,2,1,7,4,14,5,2,8,3,18,36,5,3,3,3,14,2,5,3,3,13,1,4,4,2,11,38,3,8,3,2,16,6,1,2,5,14,3,5,1,2,11,41,4,7,1,2,14,4,1,1,7,13,4,4,4,2,14,41,156,
49BE,mc,0,1,1,2,4,2,2,1,2,7,0,2,2,1,5,16,0,1,0,1,2,0,0,0,0,0,1,1,0,1,3,5,1,2,0,0,3,2,1,3,1,7,1,1,0,0,2,12,3,0,3,1,7,5,1,4,4,14,1,1,2,1,5,26,59,
49BE,pc,3,2,3,9,17,7,9,16,10,42,13,6,5,7,31,90,0,2,1,0,3,3,4,1,1,9,7,0,2,1,10,22,4,5,1,1,11,0,5,1,0,6,2,3,2,0,7,24,2,5,2,5,14,7,3,4,6,20,4,1,7,7,19,53,189,
49BE,vtotal,30,33,44,58,165,56,62,66,56,240,57,46,48,46,197,602,36,33,25,37,131,27,26,34,30,117,38,28,31,47,144,392,35,50,29,37,151,42,39,55,36,172,57,38,42,35,172,495,35,34,44,49,162,60,41,55,64,220,50,62,63,49,224,606,2095,
49BE,ptotal,27.6,30.8,41,50.9,150.3,49.2,53.6,57.8,46.8,207.4,46.6,40,44.1,41.1,171.8,529.5,36,30.8,26.2,36.4,129.4,24.6,24.1,34.5,30.5,113.7,34.1,27.4,30.4,48.2,140.1,383.2,31.2,45.8,28.2,36.2,141.4,42.1,35.7,53.4,37.7,168.9,56.1,35,41.4,35,167.5,477.8,31.6,30,40.6,44.4,146.6,54,39,49.4,58.1,200.5,46.2,60.6,56.2,43.8,206.8,553.9,1944.4,
49BD,car,2,5,2,3,12,2,0,3,2,7,4,4,2,2,12,31,6,3,5,5,19,6,9,5,8,28,6,2,9,4,21,68,6,4,4,6,20,9,6,2,7,24,3,3,8,13,27,71,7,8,5,4,24,5,7,13,2,27,3,6,4,8,21,72,242,
49BD,lgv,3,1,0,0,4,0,0,1,2,3,0,1,1,1,3,10,1,1,1,1,4,1,0,3,1,5,2,1,1,1,5,14,3,1,1,1,6,3,0,1,1,5,2,1,1,1,5,16,2,0,0,2,4,1,0,0,0,1,0,0,0,0,0,5,45,
49BD,hgv 2x,1,0,1,0,2,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
49BD,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
49BD,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BD,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BD,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BD,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49BD,taxi,3,0,0,0,3,0,0,2,1,3,1,0,0,0,1,7,0,1,0,0,1,0,1,0,0,1,1,1,0,1,3,5,0,1,0,0,1,0,0,1,0,1,1,0,3,0,4,6,1,0,3,1,5,1,0,0,0,1,4,1,0,1,6,12,30,
49BD,mc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,7,
49BD,pc,0,0,1,2,3,0,2,3,0,5,1,0,2,2,5,13,2,0,4,0,6,1,1,0,0,2,4,0,1,1,6,14,5,0,3,2,10,1,1,1,1,4,2,0,2,1,5,19,2,3,2,4,11,0,2,4,6,12,3,2,5,6,16,39,85,
49BD,vtotal,9,6,4,5,24,2,2,9,5,18,6,5,7,6,24,66,9,5,10,6,30,8,11,9,9,37,14,4,12,7,37,104,15,6,9,9,39,14,7,5,9,35,9,5,14,16,44,118,12,11,10,12,45,7,10,17,8,42,10,9,9,15,43,130,418,
